episode_idx	episode_id	scene	exit_code	start_time	end_time	outbound_success	return_success	round_trip_success	distance_to_start	outbound_stop_distance_to_goal
679	1166	zsNo4HB9uLZ	0	2026-08-17T14:22:50+01:00	2026-08-17T14:38:54+01:00	True	False	False	3.7558155059814453	0.22744058072566986
705	1198	zsNo4HB9uLZ	0	2026-08-17T14:38:54+01:00	2026-08-17T15:09:47+01:00	True	False	False	6.564516067504883	0.9010123610496521
733	1256	2azQ1b91cZZ	0	2026-08-17T15:09:47+01:00	2026-08-17T15:24:12+01:00	True	True	True	2.969128131866455	0.8678773641586304
738	1264	2azQ1b91cZZ	0	2026-08-17T15:24:12+01:00	2026-08-17T15:26:57+01:00	False	False	False	12.399770736694336	None
833	1419	TbHJrupSAjP	0	2026-08-17T15:26:57+01:00	2026-08-17T15:29:50+01:00	False	False	False	11.943379402160645	None
885	1513	QUCTc6BB5sX	0	2026-08-17T15:29:50+01:00	2026-08-17T15:40:47+01:00	True	True	True	2.6474945545196533	0.6086656451225281
895	1523	zsNo4HB9uLZ	0	2026-08-17T15:40:47+01:00	2026-08-17T16:17:25+01:00	True	False	False	9.302282333374023	0.29384058713912964
960	1642	TbHJrupSAjP	0	2026-08-17T16:17:26+01:00	2026-08-17T16:38:19+01:00	True	False	False	3.9795949459075928	0.11379710584878922
993	1699	QUCTc6BB5sX	0	2026-08-17T16:38:19+01:00	2026-08-17T17:05:12+01:00	True	True	True	0.9147635102272034	0.7277806401252747
1002	1711	TbHJrupSAjP	0	2026-08-17T17:05:12+01:00	2026-08-17T18:04:06+01:00	True	False	False	6.915207386016846	2.2921738624572754
1003	1712	TbHJrupSAjP	0	2026-08-17T18:04:06+01:00	2026-08-17T18:27:29+01:00	True	False	False	7.922735691070557	0.5403888821601868
4	8	x8F5xyUWy9e	0	2026-08-17T18:27:29+01:00	2026-08-17T18:43:11+01:00					
994	1700	QUCTc6BB5sX	0	2026-08-17T18:43:11+01:00	2026-08-17T19:06:19+01:00	True	True	True	1.0024884939193726	0.8387287259101868
368	603	X7HyMhZNoso	0	2026-08-17T19:06:19+01:00	2026-08-17T19:43:58+01:00	True	False	False	4.838235855102539	0.4512883126735687
295	476	zsNo4HB9uLZ	0	2026-08-17T19:43:58+01:00	2026-08-17T20:37:09+01:00	True	False	False	9.519179344177246	1.0347235202789307
1040	1761	X7HyMhZNoso	0	2026-08-17T20:37:09+01:00	2026-08-17T20:51:26+01:00	True	True	True	0.6928332448005676	0.9948925375938416
276	442	EU6Fwq7SyZv	0	2026-08-17T20:51:26+01:00	2026-08-17T20:54:27+01:00	False	False	False	1.7073079347610474	None
427	719	2azQ1b91cZZ	0	2026-08-17T20:54:27+01:00	2026-08-17T21:10:01+01:00	True	False	False	3.9641151428222656	0.28307196497917175
680	1167	zsNo4HB9uLZ	0	2026-08-17T21:10:01+01:00	2026-08-17T21:34:44+01:00	True	True	True	1.6855026483535767	0.3795335590839386
19	32	x8F5xyUWy9e	0	2026-08-17T21:34:44+01:00	2026-08-17T21:41:22+01:00	True	False	False	0.0	0.6834675073623657
489	853	X7HyMhZNoso	0	2026-08-17T21:41:22+01:00	2026-08-17T21:56:20+01:00	True	True	True	1.9967628717422485	0.24448606371879578
491	855	X7HyMhZNoso	0	2026-08-17T21:56:20+01:00	2026-08-17T22:11:03+01:00	True	True	True	1.9699097871780396	0.11785612255334854
344	564	X7HyMhZNoso	0	2026-08-17T22:11:03+01:00	2026-08-17T23:05:32+01:00	True	False	False	8.50583553314209	0.6770036816596985
187	281	EU6Fwq7SyZv	0	2026-08-17T23:05:32+01:00	2026-08-17T23:10:19+01:00	False	False	False	10.78396224975586	None
123	175	QUCTc6BB5sX	0	2026-08-17T23:10:19+01:00	2026-08-17T23:14:54+01:00	False	False	False	4.699245452880859	None
498	868	zsNo4HB9uLZ	0	2026-08-17T23:14:54+01:00	2026-08-17T23:27:20+01:00	True	False	False	4.743628978729248	2.054762601852417
93	139	2azQ1b91cZZ	0	2026-08-17T23:27:20+01:00	2026-08-17T23:48:38+01:00	True	False	False	3.4075403213500977	1.2065032720565796
653	1134	Z6MFQCViBuw	0	2026-08-17T23:48:38+01:00	2026-08-18T00:20:00+01:00	True	False	False	0.0	1.2717947959899902
87	127	EU6Fwq7SyZv	0	2026-08-18T00:20:01+01:00	2026-08-18T01:11:44+01:00	True	False	False	3.9547207355499268	2.4290659427642822
687	1177	X7HyMhZNoso	0	2026-08-18T01:11:44+01:00	2026-08-18T01:16:50+01:00	True	True	True	1.720412015914917	0.7081276774406433
355	584	x8F5xyUWy9e	0	2026-08-18T01:16:50+01:00	2026-08-18T01:34:21+01:00	True	False	False	8.390581130981445	0.2289997637271881
